Table,AP Delivery Zone ID,Lodgement Zone,Lodgement Zone State,To Postcode,Destination Zone Code,Destination Zone State,Description,Postcode Delivery Zone,State Classification,State Area,Postcode Delivery Zone Description
Delivery_Zone,DZ0001,V0,VIC,7151,AAT,OTHER,AAT - Aust. Antarctic Terr. (*),V0AAT,Distant State,Remote,Distant State Remote
Delivery_Zone,DZ0001,V0,VIC,7152,AAT,OTHER,AAT - Aust. Antarctic Terr. (*),V0AAT,Distant State,Remote,Distant State Remote
Delivery_Zone,DZ0001,V0,VIC,7153,AAT,OTHER,AAT - Aust. Antarctic Terr. (*),V0AAT,Distant State,Remote,Distant State Remote
Delivery_Zone,DZ0001,V0,VIC,7154,AAT,OTHER,AAT - Aust. Antarctic Terr. (*),V0AAT,Distant State,Remote,Distant State Remote
Delivery_Zone,DZ0001,V0,VIC,3350,BR,VIC,BR - Ballarat,V0BR,Same State,Metro,Same State Metro
Delivery_Zone,DZ0001,V0,VIC,3353,BR,VIC,BR - Ballarat,V0BR,Same State,Metro,Same State Metro
Delivery_Zone,DZ0001,V0,VIC,3354,BR,VIC,BR - Ballarat,V0BR,Same State,Metro,Same State Metro
Delivery_Zone,DZ0001,V0,VIC,3355,BR,VIC,BR - Ballarat,V0BR,Same State,Metro,Same State Metro
Delivery_Zone,DZ0001,V0,VIC,3356,BR,VIC,BR - Ballarat,V0BR,Same State,Metro,Same State Metro
Delivery_Zone,DZ0001,V0,VIC,200,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,201,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,202,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,203,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,204,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,205,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,206,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,207,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,208,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,209,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,210,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,211,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,212,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,213,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,214,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,215,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,216,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,217,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,218,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,219,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,220,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,221,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,222,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,223,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,224,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,225,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,226,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,227,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,228,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,229,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,230,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,231,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,232,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,233,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
