id,promotion_description,start_date,end_date,start_week,end_week,calendar_year,financial_year
1,LAST CHANCE NEW YEARS DAY 20% off EVERYTHING on SALE,2024-01-01,2024-01-02,28,28,2024,2024
2,Sun-Sational Summer Savings Up to 75% off,2024-01-03,2024-01-15,28,30,2024,2024
3,Super Sets Up to 75% off,2024-01-16,2024-01-29,30,32,2024,2024
4,Half Price or better Everything in this Sale,2024-01-30,2024-02-08,32,33,2024,2024
5,Massive Kitchen Runout $20 off Orders over $149,2024-02-09,2024-02-19,33,35,2024,2024
6,Massive Kitchen Runout Save up to 70% off,2024-02-20,2024-03-04,35,37,2024,2024
7,Afterpay Day: Everything on Sale + EXTRA 20% OFF,2024-03-05,2024-03-18,37,39,2024,2024
8,Easter Entertaining Up to 75% off,2024-03-19,2024-04-01,39,41,2024,2024
9,Mid Season Sale EXTRA 20% OFF ALL COOKWARE,2024-04-02,2024-04-15,41,43,2024,2024
10,Embrace Autumn with Seasonal Cookware + Ecology Giveaway,2024-04-16,2024-04-22,43,44,2024,2024
11,Mothers Day Gifting,2024-04-23,2024-05-09,44,46,2024,2024
12,House Frenzy Everythig on sale +extra 20% off,2024-05-10,2024-05-20,46,48,2024,2024
13,Here Comes Winter Sale up to XX% off,2024-05-21,2024-06-03,48,50,2024,2024
14,JUNE CLEARANCE: Up to xx% off,2024-06-04,2024-06-18,50,52,2024,2024
15,STOCK LIQUIDATION UP TO 75% OFF RRP* EVERYTHING $99 OR LESS IN THIS SALE,2024-06-19,2024-06-20,52,52,2024,2024
16,MEGA EOFY SALE UP TO 75% OFF RRP* +EXTRA 20% OFF ALL SALE,2024-06-21,2024-07-01,1,53,2024,2024
17,Spend & Save $20 off Orders Over $149,2024-07-02,2024-07-08,1,2,2024,2025
18,Big Brand Sale: Up to xx% off,2024-07-09,2024-07-24,2,4,2024,2025
19,Gold Medal Deals / Savings / Olympics Inspired Up to XX% off,2024-07-25,2024-08-05,4,6,2024,2025
20,Afterpay Day: Everything on Sale + EXTRA 20% OFF,2024-08-06,2024-08-19,6,8,2024,2025
21,HALF PRICE SALE EVERYTHING IN THIS SALE 50 -75% OFF + FATHERS DAY FEATURES,2024-08-20,2024-09-01,8,9,2024,2025
22,Spring Refresh Up to XX% off,2024-09-02,2024-09-16,10,12,2024,2025
23,Entertainer's Edit -Free Gift Orders Over $179 + Free Otto Glasses,2024-09-17,2024-09-30,12,14,2024,2025
24,Mid Season Sale Up to xx % off,2024-10-01,2024-10-21,14,17,2024,2025
25,Extra 20% off ALL Cookware,2024-10-22,2024-10-28,17,18,2024,2025
26,Xmas Gift Guide,2024-10-29,2024-11-06,18,19,2024,2025
27,Frenzy: Everything on Sale + EXTRA 20% off Sitewide,2024-11-07,2024-11-18,19,21,2024,2025
28,XMAS assets - no EDMs,2024-11-19,2024-11-20,21,21,2024,2025
29,Black Friday - Everything on Sale + EXTRA 20% off Sitewide,2024-11-21,2024-12-02,21,23,2024,2025
30,Get Guest Ready,2024-12-03,2024-12-15,23,24,2024,2025
31,Boxing Day Sale - Everything on Sale + TAE20% off Sitewide,2024-12-16,2024-12-29,25,26,2024,2025
32,NEW YEARS DAY SALE 20% off EVERYTHING on SALE,2024-12-30,2025-01-02,27,27,2024,2025
33,Jan Clearance Up to XX % off,2025-01-03,2025-01-20,27,30,2025,2025
34,Super Sets extra 20% off sets,2025-01-21,2025-01-28,30,31,2025,2025
35,Half Price or Better everything in this sale,2025-01-29,2025-02-10,31,33,2025,2025
36,Massive Kitchen Runout,2025-02-11,2025-03-03,33,36,2025,2025
37,PAYPAL FRENZY $20 off Orders Over $159,2025-03-04,2025-03-10,36,37,2025,2025
38,Mega Sitewide Sale up to 70% off,2025-03-11,2025-03-14,37,37,2025,2025
39,Afterpay Day: Everything on Sale + EXTRA 20% OFF,2025-03-15,2025-03-23,37,38,2025,2025
40,Easter Entertaining,2025-03-24,2025-04-14,39,42,2025,2025
41,Mid Season Sale EXTRA 20% OFF ALL COOKWARE,2025-04-15,2025-04-27,42,43,2025,2025
42,Mothers Day Gifting,2025-04-28,2025-05-08,44,45,2025,2025
43,House Frenzy: Everything on Sale + EXTRA 20% off Sitewide,2025-05-09,2025-05-19,45,47,2025,2025
44,Our Hottest Ever Winter Sale,2025-05-20,2025-06-02,47,49,2025,2025
45,June Clearance,2025-06-03,2025-06-19,49,51,2025,2025
46,MEGA EOFY SALE UP TO 75% OFF RRP* +EXTRA 20% OFF ALL SALE,2025-06-20,2025-07-06,1,52,2025,2025
